Record IDs,Factor 1,Factor 2,Factor 3,Cluster
103,-0.512364988,-0.228359208,-1.536139602,2
104,-0.004451007,-0.346848627,0.344291998,1
105,-0.610474697,0.33938455,-1.360533551,2
106,-0.896454277,1.814959024,-3.415073064,2
107,0.037463536,-0.557355784,-0.018702722,1
108,-0.05507866,-0.222398434,0.284809489,1
109,-0.26961103,-0.327592882,-0.261938899,1
110,-0.028051419,-0.29570339,0.403582653,1
111,0.704614959,-0.252020715,-0.127009827,1
112,-0.014935209,-0.124895608,0.361834286,1
113,-0.085632711,-0.361037508,-0.305029942,1
114,-0.005482945,-0.222744313,0.252972372,1
115,-0.003794305,0.223571316,-0.282261009,1
116,0.018004042,-0.500842929,0.312160265,1
117,0.134534608,-0.308685667,0.390527905,1
118,-0.040583897,-0.262604835,-0.031058029,1
119,-0.055575513,-0.223357272,0.408565205,1
120,-0.295008151,-0.997855667,-2.57190984,2
121,-0.600192964,0.667699222,-1.138505571,2
122,-0.143383721,-0.084958915,0.385273205,1
123,0.103031585,0.092578613,-0.378265756,1
124,-0.629994574,0.765894435,-1.048695995,2
125,0.131519723,0.305957217,0.034734109,1
126,-0.114955842,-0.229866593,0.321099785,1
127,-0.088275208,-0.442717582,-0.092353354,1
128,-0.114100502,-0.215672185,0.076784885,1
129,-0.070491988,0.051997687,0.398870414,1
130,-0.065830473,0.034583991,0.492427633,1
131,-0.040515026,-0.260630539,0.297858239,1
132,-0.081174267,0.421056627,0.646934035,1
133,-0.009291393,-0.338701639,0.399581153,1
134,0.09657162,-0.023295209,0.269870408,1
135,-0.047446866,-0.169134014,0.42844152,1
136,-0.077848533,0.292505931,0.701363294,1
137,-0.142367884,0.641291198,-1.98013746,2
138,-0.143408577,-0.535015887,-0.082547781,1
139,-0.036637473,-0.405832271,0.104136921,1
140,0.140161825,-0.153044194,0.39924768,1
141,-0.140359327,0.472394245,-0.102208648,1
142,-0.084886406,-0.201320779,0.336317551,1
143,-0.015140454,0.274278351,0.708166071,1
144,-0.009820034,-0.370835854,0.259727675,1
145,-0.208285029,-0.183877598,-0.286481389,1
146,-0.025624449,-0.399743108,0.284303387,1
147,-0.223400327,-0.037294896,-0.860564898,1
148,-0.017017792,0.20547125,0.576875604,1
149,-0.09905275,0.098337668,0.554202038,1
150,-0.120286814,-0.323841462,0.062018608,1
151,0.483213774,-0.482864643,0.230275214,1
152,-0.113799285,-0.316948975,0.318993745,1
153,-0.107834869,-0.178151199,0.364229572,1
154,-0.228114824,-0.58972175,-0.374441916,1
155,0.010262697,-0.053038666,0.293169833,1
156,-0.586772562,-1.053165046,-6.98187061,2
157,-0.185768566,-0.270796301,0.000640234,1
158,-0.213775863,-0.002703843,-2.331563578,2
159,-0.014052408,0.038606766,-0.53453522,1
160,-0.082271245,-0.245694989,0.370615501,1
161,-0.009887557,-0.397941421,0.37331524,1
162,-0.072376634,0.46892895,0.625650013,1
163,-0.161079319,-0.951180969,-0.445706008,1
164,0.090696766,-0.283625967,0.38264633,1
165,0.461733328,-0.306704954,-0.374587657,1
166,-0.159801321,-0.58614788,-0.125154447,1
167,-0.10404038,-0.413724394,-0.060330896,1
168,0.015669434,-0.183186066,0.426035494,1
169,-0.050509501,-0.416063858,0.3528357,1
170,-0.216525741,-0.060114412,-0.011943479,1
171,-0.119296035,0.01959445,-1.72678996,2
172,0.004443342,-0.338090441,0.303193417,1
173,-0.173311138,-0.472836191,-0.597263104,1
174,-0.188814732,-0.554065355,-0.613808518,1
175,-0.163853898,-0.664385156,-0.229514005,1
176,0.295620375,0.136565117,0.226706732,1
177,-0.802800107,0.96193122,-0.867542591,1
178,-0.2625328,1.27539712,0.425214298,1
179,0.09301492,-0.447725236,0.234469772,1
180,0.154166251,-0.066385996,0.032917802,1
181,-0.239452509,-0.537316211,-0.685057298,1
182,-0.070459035,-0.329306033,0.239524361,1
183,-0.409701261,0.0808694,-0.465078754,1
184,-0.011352223,-0.222766673,0.238695864,1
185,-0.025742857,-0.428176186,0.30816653,1
186,-0.170875916,0.022918867,-0.066364213,1
187,-0.996945207,2.167977944,-2.346145602,2
188,0.156097561,-0.394882169,0.37538435,1
189,0.256129952,0.202484663,0.383694471,1
190,0.063557353,0.141136544,0.096886247,1
191,-0.071477375,-0.149607498,0.404763748,1
192,-0.323333725,-0.174641854,-0.903156304,1
193,-0.010741844,-0.255838773,0.314610172,1
194,0.143889773,-0.255749537,0.517752344,1
195,0.343045211,0.49417253,0.135037313,1
196,-0.173165975,-0.137687123,0.170438321,1
197,0.401902284,1.157521667,-0.634463612,1
198,0.107138233,-0.315665966,0.416160091,1
199,-0.113412597,-0.426090772,0.145750188,1
200,-0.283604817,0.49721207,-0.92379797,1
201,-0.130386175,-0.057529533,0.262264193,1
202,-0.4411535,1.823119111,0.564952389,1
203,-0.050237139,0.055965828,-0.496833143,1
204,-0.171631469,-0.59395613,-0.425645317,1
205,-0.043624762,0.442762808,0.355522272,1
206,-0.535337124,1.604608072,-0.66788191,1
207,0.099494718,0.066636666,0.630223616,1
208,0.134765002,0.348440792,-0.785046187,1
209,-0.034667339,1.242125169,1.351240604,1
210,-0.228428647,-0.506368997,-0.345047818,1
211,-0.404313824,-0.076287479,-0.510779458,1
212,0.076539009,-0.542850092,-0.047356707,1
213,-0.117447428,-0.522835162,0.006008976,1
214,-0.089476443,-0.30719037,0.348023997,1
215,0.053601295,-0.085633982,0.338936512,1
216,-0.019664488,-0.216754384,0.275444606,1
217,-0.087448447,-0.341166113,0.294330175,1
218,-0.105489394,-0.263088214,0.152400534,1
219,0.40777083,0.744384485,-0.197086034,1
220,-0.068857911,-0.062215264,0.316249959,1
221,0.108619527,-0.254881549,0.375797605,1
222,-0.069465676,-0.23255321,0.299816103,1
223,-0.218879662,-0.287677694,0.041255145,1
224,-0.007781137,-0.375605596,0.336933285,1
225,-0.103811356,-0.485008822,0.03784669,1
226,0.036614271,0.044312398,0.610351866,1
227,0.286416481,-0.08273874,0.403453701,1
228,-0.040480595,-0.251417763,0.425075712,1
229,-0.097004051,-0.271108094,0.266455311,1
230,0.354423272,0.062504491,0.370238151,1
231,-0.213469745,-0.294913421,-3.196773153,2
232,-0.205751836,-0.22890471,-0.714084473,1
233,0.009043456,-0.097827367,0.41014834,1
234,-0.028518541,1.269059593,1.129858061,1
235,-0.141674194,-0.155341248,0.246158364,1
236,0.518246373,-0.323879421,0.031129302,1
237,-0.12609223,-0.231911614,0.302094561,1
238,0.148513982,-0.49094834,-0.057583538,1
239,0.024976304,-0.231948745,0.330649104,1
240,0.138557816,-0.448912626,0.409942746,1
241,1.226915129,-0.536307272,0.228729595,1
242,0.011561476,0.029055514,-0.761874279,1
243,0.012982683,-0.226534487,0.366798594,1
244,-0.021980939,-0.313344036,0.390540674,1
245,-0.177821828,-0.705499664,-0.590484633,1
246,0.044963889,-0.013824784,-0.002613984,1
247,0.790865909,-0.10186689,0.729858699,1
248,-0.398418044,0.687075912,-1.082026978,2
249,-0.093816722,-0.075768688,0.361307716,1
250,0.438303246,-0.694889015,-0.924700723,1
251,0.259682794,-0.46129726,0.250067919,1
252,-0.164093568,0.282413137,0.345126313,1
253,-0.06374653,0.295966048,0.295461375,1
254,0.048001138,-0.230193841,0.213795061,1
255,0.644172977,-0.595710589,0.093081699,1
256,-0.437003517,-0.285815583,-1.593372481,2
257,0.016076641,-0.466583898,0.312189691,1
258,-0.012969217,-0.45114173,0.358479864,1
259,-0.034685946,0.084278114,0.493566457,1
260,-0.137962685,-0.382500839,-0.31621207,1
261,0.109174325,0.301391305,-0.306959413,1
262,-0.056260922,-0.148026783,0.371240804,1
263,0.346043916,-0.199977203,-0.621986277,1
264,-0.033813696,0.072464428,0.125852232,1
265,-0.120604315,0.168159629,0.531191806,1
266,0.006582021,0.005694245,0.554614702,1
