"","RC1","RC3","RC2"
"1",-0.115809946957765,-0.287240981539225,-0.111532749810865
"2",0.0328793034254559,-0.181835795197334,-0.0365915223283039
"3",-0.168188292299257,0.233454160774089,-0.406565799964328
"4",-0.062899394991331,-0.711127764402598,0.523838600160512
"5",-0.133239057713664,-0.320517618836943,-0.168185986385118
"6",0.259257390704788,-1.00316877888371,0.877070973516146
"7",0.115435111169353,-0.0992644000170477,-0.39348787405652
"8",-0.0032770757513303,-0.793922667760534,1.6313446307113
"9",0.0833675810091928,-0.420948297158332,-0.418328125857771
"10",0.0158907179945454,-0.302807126636375,0.0930390152526119
"11",0.200689398460251,0.0323658202692333,-0.265807359623598
"12",1.87208526913872,-1.26956773152441,0.724662697149873
"13",0.05798563093388,-0.375154107527161,0.25934290358648
"14",0.0395590851598869,-0.435565787062069,0.0563428977306768
"15",-0.112740145536275,-0.622073418742795,0.490796880184351
"16",-0.321844621191834,0.443695753506147,0.53667213579092
"17",-0.0373995204949006,-0.3317836690726,-0.307152891209521
"18",-0.138671040938366,-0.410586304418419,0.332486928048455
"19",-0.17072261806549,-0.151200267634536,0.378261611324279
"20",0.281695024023857,-0.228621918071207,0.0632890413040673
"21",-0.198314454975955,0.984638056565303,-0.00569868901073307
"22",0.292058161498362,-0.47579180843413,-0.233331161881002
"23",-0.0228262551974788,0.252903915933202,-0.170230169550109
"24",-0.0956747085896953,-0.653391659917715,0.744248847756508
"25",0.854798187311134,-0.149392104635539,-0.428716989508202
"26",-0.124165579539786,-0.305583894932139,-0.250582403077461
"27",-0.123526730527919,-0.0383897355879915,0.200864170973724
"28",0.374526533228239,-0.573874178510163,-0.0131081428528648
"29",-0.0558592348412627,-0.227562804231642,-0.487999907987185
"30",0.1561245392869,-0.461154360420195,0.0689810266393009
"31",-0.11869934360457,-0.185574535884378,-0.288868259327963
"32",-0.0656953864147005,-0.219201090939707,-0.34096471257161
"33",-0.36238665920158,1.37071701445489,-0.798165528125344
"34",-0.0549360046336293,-0.274493339309193,-0.264942610803353
"35",-0.239336793514985,0.0600307652357056,1.09640311759452
"36",0.0259797521169851,-0.32677303211704,-0.439442046959435
"37",0.721418404849208,-0.40777822012745,1.46517235325047
"38",0.0718071476850364,-0.225710800486975,0.0603578912353839
"39",-0.0559907255109103,-0.325115366103521,-0.220568878081789
"40",-0.0978621204043377,-0.304256867088269,-0.406054390550339
"41",0.0761670433375581,-0.0394324034930898,-0.320580991214479
"42",-0.107696718567489,-0.435807500297455,0.0384053461315393
"43",0.0851434668867019,-0.176326235006564,-0.170644008299433
